grievance_text,category,priority
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
The community restroom needs regular cleaning and maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,MEDIUM
My public service request has not received an official response. Residents have requested prompt action.,GOVERNMENT_SERVICES,MEDIUM
The government building needs accessibility features for people with disabilities. Residents have requested prompt action.,DISABILITY_ACCESS,HIGH
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
Passengers need more frequent buses on the public transport route. The issue has been reported by local residents.,PUBLIC_TRANSPORT,MEDIUM
Residents are requesting better sanitation at the public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,LOW
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
Families need support for safe and affordable accommodation. The issue has been reported by local residents.,HOUSING,CRITICAL
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The main street has damaged asphalt and requires road maintenance. The issue has been reported by local residents.,ROAD,MEDIUM
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
The garbage collection schedule is not being followed. Please arrange the necessary civic action.,WASTE,LOW
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
The children's playground in the park needs repairs. Residents have requested prompt action.,PARKS,LOW
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
The garbage collection schedule is not being followed. Please arrange the necessary civic action.,WASTE,LOW
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
Teachers and students need better facilities for classroom learning. People in the locality are requesting a solution.,EDUCATION,MEDIUM
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Frequent blackouts are affecting homes in our neighborhood.,ELECTRICITY,MEDIUM
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
The public washroom is unhygienic and requires attention. People in the locality are requesting a solution.,PUBLIC_TOILETS,LOW
The public office has not provided an update on my application. Residents have requested prompt action.,GOVERNMENT_SERVICES,LOW
Patients are unable to receive timely medical care at the clinic. Residents have requested prompt action.,HEALTHCARE,HIGH
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
Uncontrolled animals are creating problems for people in the locality. People in the locality are requesting a solution.,ANIMAL_CONTROL,HIGH
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
The local school needs more basic educational facilities. The issue has been reported by local residents.,EDUCATION,LOW
Residents are facing a delay in garbage pickup. Residents have requested prompt action.,WASTE,MEDIUM
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
I would like to submit a general civic complaint for official review. Residents have requested prompt action.,OTHER,LOW
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
The children's playground in the park needs repairs. Residents have requested prompt action.,PARKS,LOW
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
Rainwater is accumulating because the drainage channel is blocked. Residents have requested prompt action.,DRAINAGE,MEDIUM
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
Students are requesting repairs to school classrooms and educational facilities. The issue has been reported by local residents.,EDUCATION,LOW
Teachers and students need better facilities for classroom learning. People in the locality are requesting a solution.,EDUCATION,MEDIUM
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
Families need support for safe and affordable accommodation. The issue has been reported by local residents.,HOUSING,CRITICAL
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
